dataset,series,model,family,window_type,h,coverage,interval_width,mae,rmse,pinball_lower,pinball_upper,n
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,1,1.0,422.8000000000001,36.666666666666664,37.82415454001142,10.253333333333336,10.88666666666668,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,2,1.0,422.8000000000001,39.833333333333336,44.883181705400524,11.111666666666672,10.028333333333345,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,3,1.0,422.8000000000001,37.0,45.83666654546336,11.653333333333338,9.486666666666679,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,4,1.0,422.8000000000001,42.166666666666664,47.66375282469199,9.828333333333337,11.31166666666668,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,5,1.0,422.8000000000001,32.0,38.7556447501522,11.38666666666667,9.753333333333345,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,6,1.0,422.8000000000001,43.0,60.591528560792504,11.403333333333336,9.736666666666677,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,7,1.0,422.8000000000001,61.666666666666664,62.65514078403037,11.43666666666667,9.703333333333346,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,8,1.0,422.8000000000001,47.333333333333336,58.42088667591412,11.336666666666668,9.803333333333345,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,9,1.0,422.8000000000001,56.166666666666664,64.29489352455087,11.711666666666671,9.428333333333347,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,10,1.0,422.8000000000001,47.333333333333336,53.612809414666316,12.253333333333337,8.886666666666677,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,11,1.0,422.8000000000001,61.0,77.73244710758392,11.370000000000005,9.77000000000001,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,12,1.0,422.8000000000001,29.666666666666668,37.82415454001142,11.570000000000002,9.570000000000011,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,13,1.0,422.8000000000001,38.5,45.707402755644154,11.345000000000004,9.79500000000001,6
retail,Riyadh/Grocery,seasonal_naive,baseline,expanding,14,1.0,422.8000000000001,50.166666666666664,58.905291216777236,11.778333333333336,9.361666666666677,6
retail,Riyadh/Grocery,sarima,classical,expanding,1,1.0,157.28475425384337,47.78806969497265,55.51161033154769,3.407916716579194,4.4563209961129795,6
retail,Riyadh/Grocery,sarima,classical,expanding,2,1.0,202.1665844447788,38.26180139305912,47.40689033525208,5.183704627825146,4.9246245944138,6
retail,Riyadh/Grocery,sarima,classical,expanding,3,1.0,317.3278910602707,44.5323439872443,50.01642261047597,8.845725283473842,7.020669269539702,6
retail,Riyadh/Grocery,sarima,classical,expanding,4,1.0,301.85656635990523,56.507658752369856,64.94019332353307,7.4885875042173415,7.604240813777928,6
retail,Riyadh/Grocery,sarima,classical,expanding,5,1.0,211.23477509870554,43.7081668877535,47.55367213618527,5.987765726180893,4.573973028754387,6
retail,Riyadh/Grocery,sarima,classical,expanding,6,1.0,208.5889988201449,48.92034272647075,56.153911577747444,4.694595187545837,5.734854753461413,6
retail,Riyadh/Grocery,sarima,classical,expanding,7,1.0,217.8923638573959,39.75444664111222,48.235010606883534,5.241377428225381,5.653240764644419,6
retail,Riyadh/Grocery,sarima,classical,expanding,8,1.0,236.86258505431928,42.7566523978895,49.24785018703157,5.758797403526683,6.084331849189286,6
retail,Riyadh/Grocery,sarima,classical,expanding,9,1.0,268.00794364707764,52.11914157926518,62.75769014328744,6.746585017038192,6.653812165315696,6
retail,Riyadh/Grocery,sarima,classical,expanding,10,1.0,399.52913877008956,38.14535880583835,49.54906193663645,10.672954906615134,9.303502031889353,6
retail,Riyadh/Grocery,sarima,classical,expanding,11,1.0,368.9431927752973,48.653714790056426,55.9512927001969,10.111626701283052,8.335532937481823,6
retail,Riyadh/Grocery,sarima,classical,expanding,12,1.0,254.02345560917072,26.315060168464964,33.72428554620209,6.881896541986939,5.819276238471602,6
retail,Riyadh/Grocery,sarima,classical,expanding,13,1.0,248.8634401885407,41.910496267284515,51.170032390723236,5.272266859662688,7.1709051497643514,6
retail,Riyadh/Grocery,sarima,classical,expanding,14,1.0,257.7443161463977,55.82667957843939,66.32281508418833,6.22154070678059,6.6656751005393,6
retail,Riyadh/Grocery,ets,classical,expanding,1,1.0,158.44419862157767,23.756678420076195,27.065221979792273,3.4860181161569996,4.43619181492189,6
retail,Riyadh/Grocery,ets,classical,expanding,2,1.0,199.47794504382807,20.6847616105224,25.349447790823557,5.166411246488747,4.807486005702661,6
retail,Riyadh/Grocery,ets,classical,expanding,3,1.0,321.6236074133082,54.17648599059034,62.14151099702766,9.114551029625916,6.966629341039501,6
retail,Riyadh/Grocery,ets,classical,expanding,4,1.0,318.0166980716468,32.5326322794434,37.82608041811117,8.012560649313174,7.888274254269175,6
retail,Riyadh/Grocery,ets,classical,expanding,5,1.0,232.23543208404212,39.61358518934954,51.770376837999144,6.4998363746608865,5.111935229541227,6
retail,Riyadh/Grocery,ets,classical,expanding,6,1.0,238.56066705222193,26.947194348066073,30.580804170952284,5.310765153534227,6.617268199076875,6
retail,Riyadh/Grocery,ets,classical,expanding,7,1.0,256.6325306336128,39.241578927524536,41.9867457424237,6.049282588015264,6.782343943665385,6
retail,Riyadh/Grocery,ets,classical,expanding,8,1.0,284.5334899049097,32.57970331242726,38.69092142222874,6.728810176189779,7.497864319055714,6
retail,Riyadh/Grocery,ets,classical,expanding,9,1.0,330.33459374630473,36.72639717953134,45.71549217878685,7.8944324649371636,8.622297222378082,6
retail,Riyadh/Grocery,ets,classical,expanding,10,1.0,505.80783741207614,56.021669550910396,63.794596581645514,12.393714073608507,12.896677796995313,6
retail,Riyadh/Grocery,ets,classical,expanding,11,1.0,476.38539816435696,63.94587124059675,73.2899591559793,11.825730264560704,11.993539643657156,6
retail,Riyadh/Grocery,ets,classical,expanding,12,1.0,332.5891556199234,34.824831373166916,39.91970864568981,8.202616313595025,8.426841467401156,6
retail,Riyadh/Grocery,ets,classical,expanding,13,1.0,331.38570807812437,25.43918137261906,30.223447020768013,6.6312366088379475,9.93804879506828,6
retail,Riyadh/Grocery,ets,classical,expanding,14,1.0,347.8680069807535,34.62357517771909,51.24061249765939,7.706576792919694,9.686823556117986,6
retail,Riyadh/Grocery,prophet,gam,expanding,1,1.0,423.6726554622816,8.72432567761488,13.184889350957086,10.577404407224483,10.606228365889608,6
retail,Riyadh/Grocery,prophet,gam,expanding,2,1.0,420.33577737852374,15.558206713573972,19.725066836637392,10.710252384864214,10.306536484061981,6
retail,Riyadh/Grocery,prophet,gam,expanding,3,1.0,422.7859371098527,31.20388014078564,36.83460158226076,9.714603047474833,11.424693808017807,6
retail,Riyadh/Grocery,prophet,gam,expanding,4,1.0,422.8524307809939,29.84609904651258,46.134299833275286,8.90231294994893,12.240308589100778,6
retail,Riyadh/Grocery,prophet,gam,expanding,5,1.0,425.3377307543619,41.873269407363665,53.736357171233756,12.199282710033472,9.067603827684634,6
